match_id,date,home_team,away_team,home_goals,away_goals,target,p_draw,p_home,p_away,predicted_class,correct,predicted_winner,actual_winner,year,match_type,brier,rps
1958,2018-06-14,Russia,Saudi Arabia,5.0,0.0,1,0.29663871121037805,0.44675867486700727,0.25660261392261474,1,1,Russia,Russia,2018,group,0.4599153902953823,0.1859604326534141
1961,2018-06-15,Morocco,Iran,0.0,1.0,2,0.29314695948238667,0.30937289888707376,0.39748014163053946,2,1,Iran,Iran,2018,group,0.5446769101491143,0.22937088514767312
1959,2018-06-15,Portugal,Spain,3.0,3.0,0,0.29683665007520865,0.14359118777458396,0.5595721621502074,2,0,Spain,draw,2018,group,0.8281781305374284,0.16686971692998695
1960,2018-06-15,Egypt,Uruguay,0.0,1.0,2,0.3359933037238584,0.2341121780111538,0.4298945182649878,2,1,Uruguay,Uruguay,2018,group,0.4927202723447094,0.18991438609871825
1964,2018-06-16,France,Australia,2.0,1.0,1,0.2846783722033104,0.49596194489560486,0.21935968290108465,1,1,France,France,2018,group,0.38321480707621225,0.15108651573794285
1965,2018-06-16,Argentina,Iceland,1.0,1.0,0,0.34595182245022227,0.2823597836617735,0.37168839388800434,2,0,Iceland,draw,2018,group,0.6456583281367534,0.10893965479028386
1962,2018-06-16,Peru,Denmark,0.0,1.0,2,0.3209763812220093,0.2350648643392685,0.44395875443872224,2,1,Denmark,Denmark,2018,group,0.46746319451455254,0.18221867860608795
1963,2018-06-16,Croatia,Nigeria,2.0,0.0,1,0.2686817527797881,0.6154783274259323,0.1158399197942796,1,1,Croatia,Croatia,2018,group,0.2334656879739228,0.08063790184855181
1966,2018-06-17,Costa Rica,Serbia,0.0,1.0,2,0.267035934761948,0.30240796219411614,0.4305561030439359,2,1,Serbia,Serbia,2018,group,0.4870251178330939,0.20785846368945327
1967,2018-06-17,Germany,Mexico,0.0,1.0,2,0.23967143272851588,0.6986931971103167,0.06163537016116734,1,0,Germany,Mexico,2018,group,1.4261427578869448,0.6843501811104027
1968,2018-06-17,Brazil,Switzerland,1.0,1.0,0,0.2702148753662301,0.45789626502248304,0.2718888596112867,1,0,Brazil,draw,2018,group,0.816178869638993,0.14179627075113305
1969,2018-06-18,Sweden,South Korea,1.0,0.0,1,0.27756766625540796,0.4428199992090397,0.27961233453555245,1,1,Sweden,Sweden,2018,group,0.4656764202563098,0.1943163054529181
1970,2018-06-18,Belgium,Panama,3.0,0.0,1,0.2147943450033895,0.7356820312941366,0.049523623702474,1,1,Belgium,Belgium,2018,group,0.11845318853085317,0.03615828894270902
1971,2018-06-18,Tunisia,England,1.0,2.0,2,0.18350402031515106,0.08897317109094506,0.7275228085939041,2,1,England,England,2018,group,0.1158337704823562,0.041080022505266454
1972,2018-06-19,Colombia,Japan,1.0,2.0,2,0.22468081812762766,0.27415082849217287,0.5011683533801995,2,1,Japan,Japan,2018,group,0.37447315846686646,0.16199584421618315
1973,2018-06-19,Poland,Senegal,1.0,2.0,2,0.28012442565753193,0.4857891588574843,0.23408641548498388,1,0,Poland,Senegal,2018,group,0.901084419658065,0.4113073629040515
1974,2018-06-19,Russia,Egypt,3.0,1.0,1,0.24551870322086047,0.5644942781996282,0.1899870185795114,1,1,Russia,Russia,2018,group,0.2860397345808474,0.11288015047479723
1975,2018-06-20,Portugal,Morocco,1.0,0.0,1,0.3173640446048661,0.5178759415208338,0.1647600138743,1,1,Portugal,Portugal,2018,group,0.36030940674424144,0.12979473496814098
1976,2018-06-20,Uruguay,Saudi Arabia,1.0,0.0,1,0.28375699145283895,0.4725720191436231,0.24367098940353793,1,1,Uruguay,Uruguay,2018,group,0.4180738562655003,0.16877791303356687
1977,2018-06-20,Iran,Spain,0.0,1.0,2,0.2556598192238852,0.10465247780165465,0.6396877029744602,2,1,Spain,Spain,2018,group,0.2061390356634363,0.07038854624892334
1980,2018-06-21,Denmark,Australia,1.0,1.0,0,0.2618009202642969,0.4573804367612291,0.280818642974474,1,0,Denmark,draw,2018,group,0.8329938554965566,0.1440279870869589
1979,2018-06-21,France,Peru,1.0,0.0,1,0.2794100364229054,0.5482491461258231,0.17234081745127156,1,1,France,France,2018,group,0.3118501597896698,0.1168900956679102
1978,2018-06-21,Argentina,Croatia,0.0,3.0,2,0.3195692950346033,0.2365415984004004,0.44388910656499625,2,1,Croatia,Croatia,2018,group,0.46733578789980773,0.18260562678544714
1981,2018-06-22,Brazil,Costa Rica,2.0,0.0,1,0.27197718969863355,0.6364090409300613,0.09161376937130511,1,1,Brazil,Brazil,2018,group,0.214563059972183,0.07029573412790825
1982,2018-06-22,Nigeria,Iceland,2.0,0.0,1,0.1864328942674528,0.09142454628425908,0.722142559448288,2,0,Iceland,Nigeria,2018,group,1.3817564553262276,0.6734996156306443
