match_id,team,elo_pre,elo_post,tournament_type
1,Oman,1450.0,1450.0,AFC Asian Cup qualification
1,Jordan,1450.0,1450.0,AFC Asian Cup qualification
2,Singapore,1450.0,1420.0,AFC Asian Cup qualification
2,Jordan,1450.0,1485.92,AFC Asian Cup qualification
3,Iran,1450.0,1461.59,AFC Asian Cup qualification
3,Kuwait,1450.0,1420.0,AFC Asian Cup qualification
12,Qatar,1450.0,1450.0,AFC Asian Cup qualification
12,Bahrain,1450.0,1450.0,AFC Asian Cup qualification
10,Jordan,1485.92,1493.75,AFC Asian Cup qualification
10,Syria,1450.0,1423.09,AFC Asian Cup qualification
9,Oman,1450.0,1482.45,AFC Asian Cup qualification
9,Singapore,1420.0,1392.58,AFC Asian Cup qualification
8,Vietnam,1450.0,1485.92,AFC Asian Cup qualification
8,Hong Kong,1450.0,1420.0,AFC Asian Cup qualification
11,Iraq,1450.0,1485.92,AFC Asian Cup qualification
11,China,1450.0,1420.0,AFC Asian Cup qualification
6,Thailand,1450.0,1420.0,AFC Asian Cup qualification
6,Lebanon,1450.0,1503.18,AFC Asian Cup qualification
5,Uzbekistan,1450.0,1450.0,AFC Asian Cup qualification
5,United Arab Emirates,1450.0,1450.0,AFC Asian Cup qualification
4,Yemen,1450.0,1420.0,AFC Asian Cup qualification
4,Malaysia,1450.0,1461.59,AFC Asian Cup qualification
7,Saudi Arabia,1450.0,1461.59,AFC Asian Cup qualification
7,Indonesia,1450.0,1420.0,AFC Asian Cup qualification
13,Mauritania,1500.0,1511.59,African Cup of Nations qualification
13,Mauritius,1500.0,1470.0,African Cup of Nations qualification
14,Mauritius,1470.0,1443.57,African Cup of Nations qualification
14,Mauritania,1511.59,1545.2,African Cup of Nations qualification
15,Malawi,1500.0,1535.92,African Cup of Nations qualification
15,Chad,1500.0,1470.0,African Cup of Nations qualification
16,Mauritania,1545.2,1552.07,African Cup of Nations qualification
16,Equatorial Guinea,1500.0,1473.88,African Cup of Nations qualification
17,Namibia,1500.0,1511.59,African Cup of Nations qualification
17,Congo,1500.0,1470.0,African Cup of Nations qualification
18,São Tomé and Príncipe,1500.0,1470.0,African Cup of Nations qualification
18,Benin,1500.0,1535.92,African Cup of Nations qualification
24,Eswatini,1500.0,1500.0,African Cup of Nations qualification
24,Sierra Leone,1500.0,1500.0,African Cup of Nations qualification
27,Burundi,1500.0,1500.0,African Cup of Nations qualification
27,Botswana,1500.0,1500.0,African Cup of Nations qualification
26,Central African Republic,1500.0,1500.0,African Cup of Nations qualification
26,Guinea-Bissau,1500.0,1500.0,African Cup of Nations qualification
23,Madagascar,1500.0,1511.59,African Cup of Nations qualification
23,Uganda,1500.0,1470.0,African Cup of Nations qualification
25,Kenya,1500.0,1511.59,African Cup of Nations qualification
25,Comoros,1500.0,1470.0,African Cup of Nations qualification
21,Mozambique,1500.0,1577.51,African Cup of Nations qualification
21,South Sudan,1500.0,1470.0,African Cup of Nations qualification
22,Liberia,1500.0,1511.59,African Cup of Nations qualification
22,Lesotho,1500.0,1470.0,African Cup of Nations qualification
20,Tanzania,1500.0,1511.59,African Cup of Nations qualification
20,Zimbabwe,1500.0,1470.0,African Cup of Nations qualification
19,Libya,1500.0,1500.0,African Cup of Nations qualification
19,Rwanda,1500.0,1500.0,African Cup of Nations qualification
28,Aruba,1550.0,1561.59,CFU Caribbean Cup qualification
28,Turks and Caicos Islands,1550.0,1520.0,CFU Caribbean Cup qualification
29,Comoros,1470.0,1473.57,African Cup of Nations qualification
29,Kenya,1511.59,1508.01,African Cup of Nations qualification
30,French Guiana,1550.0,1636.75,CFU Caribbean Cup qualification
30,British Virgin Islands,1550.0,1520.0,CFU Caribbean Cup qualification
31,Montserrat,1550.0,1556.38,CFU Caribbean Cup qualification
31,United States Virgin Islands,1500.0,1474.29,CFU Caribbean Cup qualification
32,South Sudan,1470.0,1479.0,African Cup of Nations qualification
32,Mozambique,1577.51,1568.51,African Cup of Nations qualification
