match_id,group,round,home_team,away_team,p_home,p_draw,p_away,avg_home_goals,avg_away_goals
G_A_Mexico_South Africa,A,group,Mexico,South Africa,0.7016,0.2015,0.0969,2.0,0.0
G_A_South Korea_Czech Republic,A,group,South Korea,Czech Republic,0.5445,0.2027,0.2528,2.0,1.0
G_A_Czech Republic_South Africa,A,group,Czech Republic,South Africa,0.5157,0.2329,0.2513,1.0,0.0
G_A_Mexico_South Korea,A,group,Mexico,South Korea,0.5076,0.245,0.2474,1.0,0.0
G_A_Czech Republic_Mexico,A,group,Czech Republic,Mexico,0.2569,0.276,0.4671,1.0,0.0
G_A_South Africa_South Korea,A,group,South Africa,South Korea,0.2963,0.2031,0.5006,1.0,0.0
G_B_Canada_Bosnia and Herzegovina,B,group,Canada,Bosnia and Herzegovina,0.6334,0.2368,0.1298,1.0,1.0
G_B_Qatar_Switzerland,B,group,Qatar,Switzerland,0.2724,0.2323,0.4953,1.18,0.34
G_B_Switzerland_Bosnia and Herzegovina,B,group,Switzerland,Bosnia and Herzegovina,0.6973,0.2044,0.0983,1.0,0.0
G_B_Canada_Qatar,B,group,Canada,Qatar,0.6334,0.2368,0.1298,1.0,0.0
G_B_Switzerland_Canada,B,group,Switzerland,Canada,0.5157,0.2329,0.2513,1.0,0.0
G_B_Bosnia and Herzegovina_Qatar,B,group,Bosnia and Herzegovina,Qatar,0.4757,0.2609,0.2634,1.0,0.0
G_C_Brazil_Morocco,C,group,Brazil,Morocco,0.4757,0.2609,0.2634,1.24,0.33
G_C_Haiti_Scotland,C,group,Haiti,Scotland,0.5445,0.2027,0.2528,1.28,0.34
G_C_Scotland_Morocco,C,group,Scotland,Morocco,0.4282,0.307,0.2648,1.0,0.0
G_C_Brazil_Haiti,C,group,Brazil,Haiti,0.4757,0.2609,0.2634,1.0,0.0
G_C_Scotland_Brazil,C,group,Scotland,Brazil,0.4422,0.2888,0.269,1.0,0.0
G_C_Morocco_Haiti,C,group,Morocco,Haiti,0.5278,0.2271,0.2451,1.0,0.0
G_D_United States_Paraguay,D,group,United States,Paraguay,0.7016,0.2015,0.0969,3.0,0.0
G_D_Australia_Turkey,D,group,Australia,Turkey,0.4655,0.2768,0.2577,1.22,0.34
G_D_United States_Australia,D,group,United States,Australia,0.4422,0.2888,0.269,1.0,0.0
G_D_Turkey_Paraguay,D,group,Turkey,Paraguay,0.6274,0.2463,0.1264,1.0,0.0
G_D_Turkey_United States,D,group,Turkey,United States,0.4371,0.2971,0.2658,1.0,0.0
G_D_Paraguay_Australia,D,group,Paraguay,Australia,0.3061,0.281,0.4129,1.0,0.0
