date,home_team,away_team,odds_h,odds_d,odds_a
2022-07-15,Kaiserslautern,Hannover,2.4,3.4,2.8
2022-07-16,Regensburg,Darmstadt,3.6,3.8,1.95
2022-07-16,Magdeburg,Fortuna Dusseldorf,2.7,3.6,2.45
2022-07-16,St Pauli,Nurnberg,2.3,3.6,2.9
2022-07-16,Sandhausen,Bielefeld,3.1,3.4,2.3
2022-07-16,Greuther Furth,Holstein Kiel,2.2,3.6,3.2
2022-07-17,Paderborn,Karlsruhe,1.9,3.8,3.75
2022-07-17,Hansa Rostock,Heidenheim,2.37,3.4,3.0
2022-07-17,Braunschweig,Hamburg,5.25,4.2,1.61
2022-07-22,Fortuna Dusseldorf,Paderborn,2.4,3.6,2.75
2022-07-22,Darmstadt,Sandhausen,1.8,4.0,4.0
2022-07-22,Standard,Gent,4.2,3.6,1.85
2022-07-23,Charleroi,Eupen,1.61,3.6,4.75
2022-07-23,Nurnberg,Greuther Furth,2.37,3.5,2.9
2022-07-23,Hannover,St Pauli,2.2,3.75,3.0
2022-07-23,Kortrijk,Oud-Heverlee Leuven,2.37,3.2,2.87
2022-07-23,Waregem,Seraing,2.15,3.5,2.9
2022-07-23,Heidenheim,Braunschweig,2.0,3.5,3.8
2022-07-23,Holstein Kiel,Kaiserslautern,2.2,3.4,3.3
2022-07-23,St Truiden,St. Gilloise,4.33,3.2,1.85
2022-07-24,Club Brugge,Genk,1.72,3.75,4.2
2022-07-24,Mechelen,Antwerp,2.55,3.25,2.5
2022-07-24,Karlsruhe,Magdeburg,2.9,3.5,2.37
2022-07-24,Hamburg,Hansa Rostock,1.53,4.5,5.5
2022-07-24,Bielefeld,Regensburg,1.75,3.8,4.5
2022-07-24,Anderlecht,Oostende,1.25,5.5,9.0
2022-07-24,Westerlo,Cercle Brugge,2.5,3.2,2.7
2022-07-29,St. Gilloise,Charleroi,1.65,4.0,5.0
2022-07-29,Huddersfield,Burnley,2.9,3.2,2.5
2022-07-30,Wigan,Preston,2.4,3.3,3.0
2022-07-30,Hearts,Ross County,1.55,4.0,6.0
2022-07-30,Livingston,Rangers,8.0,5.0,1.36
2022-07-30,Blackpool,Reading,1.95,3.5,4.0
2022-07-30,Cardiff,Norwich,3.1,3.4,2.3
2022-07-30,Hull,Bristol City,2.37,3.25,3.1
2022-07-30,Luton,Birmingham,1.83,3.5,4.33
2022-07-30,Millwall,Stoke,2.3,3.25,3.2
2022-07-30,Rotherham,Swansea,2.62,3.5,2.55
2022-07-30,Oostende,Mechelen,2.62,3.4,2.4
2022-07-30,Middlesbrough,West Brom,2.25,3.4,3.25
2022-07-30,Kilmarnock,Dundee United,2.4,3.3,3.0
2022-07-30,St Johnstone,Hibernian,3.2,3.2,2.37
2022-07-30,Cercle Brugge,Anderlecht,3.6,3.4,1.9
2022-07-30,Blackburn,QPR,2.0,3.5,3.75
2022-07-30,Gent,St Truiden,1.5,4.2,5.5
2022-07-30,Oud-Heverlee Leuven,Westerlo,2.5,3.4,2.62
2022-07-31,St Mirren,Motherwell,2.55,3.3,2.8
2022-07-31,Celtic,Aberdeen,1.25,6.0,11.0
2022-07-31,Antwerp,Waregem,1.36,4.5,7.0
2022-07-31,Seraing,Kortrijk,2.87,3.4,2.25
2022-07-31,Eupen,Club Brugge,5.25,4.75,1.5
2022-07-31,Genk,Standard,1.5,4.2,5.25
2022-07-31,Sunderland,Coventry,2.62,3.5,2.6
2022-08-01,Watford,Sheffield United,2.3,3.25,3.25
2022-08-05,Heerenveen,Sparta Rotterdam,1.95,3.5,3.8
2022-08-05,Istanbulspor,Trabzonspor,4.7,3.75,1.61
2022-08-05,Club Brugge,Waregem,1.22,6.0,9.0
2022-08-05,Birmingham,Huddersfield,2.37,3.25,3.1
2022-08-05,Ein Frankfurt,Bayern Munich,6.0,5.0,1.5
2022-08-05,Crystal Palace,Arsenal,4.2,3.6,1.85
2022-08-05,Greuther Furth,Karlsruhe,1.7,4.0,4.33
2022-08-05,Sandhausen,Fortuna Dusseldorf,2.87,3.5,2.3
2022-08-05,Lyon,Ajaccio,1.33,5.25,8.5
2022-08-06,Bochum,Mainz,3.2,3.4,2.2
2022-08-06,Hamburg,Heidenheim,1.7,4.0,4.75
2022-08-06,Paderborn,Hannover,2.05,3.6,3.4
2022-08-06,Regensburg,Nurnberg,2.7,3.3,2.6
2022-08-06,Hansa Rostock,Bielefeld,2.45,3.3,2.9
2022-08-06,Augsburg,Freiburg,3.3,3.5,2.15
2022-08-06,Charleroi,Oostende,1.6,3.8,5.0
2022-08-06,Kortrijk,St Truiden,3.0,3.2,2.3
2022-08-06,Mechelen,St. Gilloise,3.0,3.5,2.1
2022-08-06,Sivasspor,Gaziantep,1.95,3.5,3.3
2022-08-06,Besiktas,Kayserispor,1.5,4.33,5.25
2022-08-06,Swansea,Blackburn,2.4,3.25,3.1
2022-08-06,Stoke,Blackpool,2.05,3.4,3.75
2022-08-06,Reading,Cardiff,2.5,3.25,2.9
2022-08-06,QPR,Middlesbrough,3.0,3.3,2.4
2022-08-06,Preston,Hull,1.95,3.4,4.0
2022-08-06,Burnley,Luton,1.75,3.75,4.6
2022-08-06,Bristol City,Sunderland,2.45,3.25,2.9
2022-08-06,Norwich,Wigan,1.66,3.6,5.25
2022-08-06,Everton,Chelsea,5.5,4.0,1.61
2022-08-06,Tottenham,Southampton,1.33,5.5,8.5
2022-08-06,Newcastle,Nott'm Forest,1.66,3.8,5.25
2022-08-06,Leeds,Wolves,2.25,3.4,3.2
2022-08-06,Bournemouth,Aston Villa,3.75,3.5,2.0
2022-08-06,Fulham,Liverpool,11.0,6.0,1.25
2022-08-06,Sheffield United,Millwall,1.83,3.5,4.5
2022-08-06,Strasbourg,Monaco,2.62,3.25,2.75
2022-08-06,Genk,Eupen,1.36,5.0,6.5
2022-08-06,For Sittard,Ajax,13.0,6.5,1.2
2022-08-06,Cambuur,Excelsior,1.85,4.0,3.8
2022-08-06,PSV Eindhoven,FC Emmen,1.22,7.5,12.0
2022-08-06,Waalwijk,Utrecht,3.5,3.8,1.95
2022-08-06,Wolfsburg,Werder Bremen,1.85,3.8,3.8
2022-08-06,Clermont,Paris SG,9.5,6.5,1.25
2022-08-06,Aberdeen,St Mirren,1.95,3.3,4.0
2022-08-06,Motherwell,St Johnstone,2.2,3.1,3.6
2022-08-06,Rangers,Kilmarnock,1.22,7.0,11.0
2022-08-06,Ross County,Celtic,12.0,6.5,1.22
2022-08-06,Union Berlin,Hertha,1.72,3.75,4.5
2022-08-06,M'gladbach,Hoffenheim,2.05,4.2,3.0
2022-08-06,Dortmund,Leverkusen,2.0,4.2,3.2
2022-08-07,Toulouse,Nice,2.87,3.3,2.5
2022-08-07,AZ Alkmaar,Go Ahead Eagles,1.4,5.0,7.5
2022-08-07,Vitesse,Feyenoord,3.8,3.8,1.9
2022-08-07,West Ham,Man City,8.0,5.0,1.36
2022-08-07,Man United,Brighton,1.6,4.2,5.25
2022-08-07,Leicester,Brentford,2.0,3.75,3.5
2022-08-07,Nijmegen,Twente,3.1,3.6,2.2
2022-08-07,Groningen,Volendam,1.72,4.0,4.33
2022-08-07,Dundee United,Livingston,2.4,3.1,3.2
2022-08-07,Antalyaspor,Galatasaray,2.37,3.6,2.6
2022-08-07,Hibernian,Hearts,2.8,3.2,2.6
2022-08-07,Giresunspor,Ad. Demirspor,2.87,3.4,2.2
2022-08-07,Angers,Nantes,2.7,3.25,2.7
2022-08-07,Lens,Brest,1.57,4.33,5.25
2022-08-07,Lille,Auxerre,1.7,4.0,4.5
2022-08-07,Montpellier,Troyes,2.2,3.5,3.3
2022-08-07,Rennes,Lorient,1.36,5.25,8.5
2022-08-07,Marseille,Reims,1.57,4.2,5.5
2022-08-07,Braunschweig,Darmstadt,3.3,3.4,2.2
2022-08-07,Kaiserslautern,St Pauli,2.4,3.6,2.7
2022-08-07,Karagumruk,Alanyaspor,2.55,3.5,2.4
2022-08-07,Stuttgart,RB Leipzig,4.5,3.8,1.75
2022-08-07,FC Koln,Schalke 04,1.7,4.0,4.5
2022-08-07,Gent,Westerlo,1.61,4.0,4.75
2022-08-07,Anderlecht,Seraing,1.25,5.5,11.0
2022-08-07,Magdeburg,Holstein Kiel,2.05,3.6,3.4
2022-08-07,Antwerp,Oud-Heverlee Leuven,1.61,4.0,4.75
2022-08-07,Standard,Cercle Brugge,2.55,3.2,2.55
2022-08-08,Buyuksehyr,Kasimpasa,1.75,3.6,4.2
2022-08-08,Fenerbahce,Umraniyespor,1.33,5.0,7.5
2022-08-08,West Brom,Watford,2.37,3.1,3.2
2022-08-08,Ankaragucu,Konyaspor,2.9,3.4,2.15
2022-08-12,Nurnberg,Heidenheim,2.15,3.75,3.2
2022-08-12,Watford,Burnley,2.3,3.3,3.1
2022-08-12,Trabzonspor,Hatayspor,1.5,4.5,6.5
2022-08-12,Kaiserslautern,Paderborn,2.87,3.5,2.4
2022-08-12,Freiburg,Dortmund,3.0,3.75,2.2
2022-08-12,Excelsior,Vitesse,3.75,3.75,1.9
2022-08-12,Oostende,Gent,4.75,3.75,1.7
2022-08-12,Nantes,Lille,3.0,3.4,2.4
2022-08-12,Osasuna,Sevilla,3.2,3.1,2.4
2022-08-13,Arsenal,Leicester,1.53,4.33,5.75
2022-08-13,St Mirren,Ross County,2.4,3.2,3.1
2022-08-13,Wolves,Fulham,2.3,3.3,3.2
2022-08-13,Southampton,Leeds,2.25,3.5,3.1
2022-08-13,Man City,Bournemouth,1.06,13.0,29.0
2022-08-13,Brighton,Newcastle,2.45,3.2,3.0
2022-08-13,Hull,Norwich,3.6,3.4,2.05
2022-08-13,Rangers,St Johnstone,1.18,7.0,17.0
2022-08-13,Aston Villa,Everton,1.8,3.5,4.75
2022-08-13,Holstein Kiel,Braunschweig,2.15,3.5,3.25
2022-08-13,Karlsruhe,Sandhausen,2.25,3.5,3.1
2022-08-13,Darmstadt,Hansa Rostock,1.75,3.75,4.5
2022-08-13,Schalke 04,M'gladbach,3.1,3.8,2.15
2022-08-13,Werder Bremen,Stuttgart,2.25,3.6,3.0
2022-08-13,RB Leipzig,FC Koln,1.44,4.75,7.0
2022-08-13,Bielefeld,Hamburg,3.75,3.75,1.95
2022-08-13,Leverkusen,Augsburg,1.3,5.75,9.5
2022-08-13,Livingston,Hibernian,3.2,3.1,2.37
2022-08-13,Westerlo,Standard,2.05,3.4,3.5
2022-08-13,Luton,Preston,2.25,3.3,3.25
2022-08-13,Millwall,Coventry,2.45,3.2,3.0
2022-08-13,Rotherham,Reading,2.15,3.3,3.5
2022-08-13,Sunderland,QPR,2.1,3.5,3.5
2022-08-13,Wigan,Bristol City,2.2,3.3,3.4
2022-08-13,Blackpool,Swansea,2.4,3.3,3.0
2022-08-13,Aberdeen,Motherwell,1.8,3.5,4.75
2022-08-13,Cardiff,Birmingham,2.25,3.3,3.3
2022-08-13,Monaco,Rennes,2.15,3.5,3.25
2022-08-13,Celta,Espanol,1.8,3.75,4.75
2022-08-13,Brentford,Man United,3.75,3.5,2.0
2022-08-13,St. Gilloise,Kortrijk,1.4,4.75,7.0
2022-08-13,Seraing,Charleroi,4.33,3.5,1.8
2022-08-13,Cercle Brugge,Mechelen,2.1,3.6,3.3
2022-08-13,Paris SG,Montpellier,1.08,12.0,21.0
2022-08-13,Hoffenheim,Bochum,1.57,4.5,5.25
2022-08-13,Huddersfield,Stoke,2.7,3.2,2.75
2022-08-13,Kayserispor,Istanbulspor,1.85,3.8,4.0
2022-08-13,Monza,Torino,2.6,3.3,2.75
2022-08-13,Lecce,Inter,10.0,5.75,1.28
2022-08-13,Sampdoria,Atalanta,4.33,3.9,1.75
2022-08-13,Milan,Udinese,1.44,4.75,7.0
2022-08-13,Utrecht,Cambuur,1.5,5.0,5.75
2022-08-13,FC Emmen,Waalwijk,1.9,3.75,3.8
2022-08-13,Go Ahead Eagles,PSV Eindhoven,8.5,5.0,1.36
2022-08-13,Feyenoord,Heerenveen,1.3,5.5,8.0
2022-08-13,Hertha,Ein Frankfurt,3.0,3.5,2.3
2022-08-13,Ad. Demirspor,Sivasspor,1.9,3.6,4.0
2022-08-13,Galatasaray,Giresunspor,1.44,4.33,8.0
2022-08-13,Valladolid,Villarreal,3.9,3.6,1.9
2022-08-13,Barcelona,Vallecano,1.22,7.0,12.0
2022-08-14,Salernitana,Roma,6.5,4.75,1.44
2022-08-14,Nott'm Forest,West Ham,4.2,3.6,1.85
