Date,HomeTeam,AwayTeam,B365H,B365D,B365A
15/07/18,France,Croatia,2.13,3.09,4.15
14/07/18,Belgium,England,2.2,3.74,3.18
11/07/18,Croatia,England,3.81,2.99,2.28
10/07/18,France,Belgium,2.59,3.13,3.02
07/07/18,Russia,Croatia,4.03,3.15,2.12
07/07/18,Sweden,England,5.07,3.35,1.85
06/07/18,Brazil,Belgium,2.12,3.42,3.69
06/07/18,Uruguay,France,4.61,3.11,2.01
03/07/18,Colombia,England,4.07,3.11,2.15
03/07/18,Sweden,Switzerland,3.37,2.95,2.53
02/07/18,Belgium,Japan,1.43,4.71,8.58
02/07/18,Brazil,Mexico,1.49,4.44,7.61
01/07/18,Croatia,Denmark,1.99,3.22,4.61
01/07/18,Spain,Russia,1.59,4.1,6.33
30/06/18,Uruguay,Portugal,3.05,2.98,2.74
30/06/18,France,Argentina,2.43,3.12,3.33
28/06/18,England,Belgium,2.46,2.85,3.67
28/06/18,Panama,Tunisia,4.34,3.73,1.88
28/06/18,Japan,Poland,2.96,3.15,2.67
28/06/18,Senegal,Colombia,5.07,3.79,1.76
27/06/18,Serbia,Brazil,7.34,4.64,1.48
27/06/18,Switzerland,Costa Rica,1.61,3.68,7.37
27/06/18,Mexico,Sweden,2.23,3.38,3.52
27/06/18,South Korea,Germany,18.76,8.19,1.17
26/06/18,Iceland,Croatia,4.36,3.93,1.84
26/06/18,Nigeria,Argentina,5.91,5.14,1.5
26/06/18,Australia,Peru,2.9,3.5,2.5
26/06/18,Denmark,France,5.27,2.78,2.08
25/06/18,Iran,Portugal,6.24,4.04,1.61
25/06/18,Spain,Morocco,1.37,5.09,9.86
25/06/18,Saudi Arabia,Egypt,5.27,3.62,1.78
25/06/18,Uruguay,Russia,2.74,3.06,2.96
24/06/18,Poland,Colombia,3.46,3.45,2.22
24/06/18,Japan,Senegal,3.16,2.96,2.67
24/06/18,England,Panama,1.22,6.41,18.09
23/06/18,Germany,Sweden,1.47,4.62,7.45
23/06/18,South Korea,Mexico,5.56,3.82,1.71
23/06/18,Belgium,Tunisia,1.34,5.08,11.48
22/06/18,Serbia,Switzerland,2.74,3.05,2.96
22/06/18,Nigeria,Iceland,2.98,3.07,2.71
22/06/18,Brazil,Costa Rica,1.21,6.7,18.82
21/06/18,Argentina,Croatia,2.1,3.27,4.04
21/06/18,France,Peru,1.62,3.84,6.58
21/06/18,Denmark,Australia,1.92,3.42,4.62
20/06/18,Iran,Spain,19.05,6.78,1.21
20/06/18,Uruguay,Saudi Arabia,1.22,6.62,17.46
20/06/18,Portugal,Morocco,1.7,3.67,5.97
19/06/18,Russia,Egypt,1.96,3.51,4.29
19/06/18,Poland,Senegal,2.48,3.07,3.32
19/06/18,Colombia,Japan,1.88,3.34,5.06
18/06/18,Tunisia,England,8.47,4.21,1.48
18/06/18,Belgium,Panama,1.21,6.83,17.92
18/06/18,Sweden,South Korea,2.27,3.04,3.86
17/06/18,Brazil,Switzerland,1.47,4.38,8.2
17/06/18,Germany,Mexico,1.49,4.56,7.31
17/06/18,Costa Rica,Serbia,5.29,3.4,1.84
16/06/18,Croatia,Nigeria,1.68,3.76,5.99
16/06/18,Peru,Denmark,3.68,3.09,2.31
16/06/18,Argentina,Iceland,1.33,5.31,11.04
16/06/18,France,Australia,1.26,6.99,10.6
15/06/18,Portugal,Spain,4.3,3.26,2.03
15/06/18,Morocco,Iran,2.23,2.95,4.11
15/06/18,Egypt,Uruguay,8.35,4.06,1.5
14/06/18,Russia,Saudi Arabia,1.46,4.32,8.92
